X,...1.y,targets,target.id,target.class,drug_id,Name,Synonyms,Targets,Target.pathway,Targets2,PubCHEM,Sample.Size,Count,X,X.1,development
IPA-3,64,NA,NA,NA,176,IPA-3,IPA 3,PAK1,Cytoskeleton,PAK1,521106,GDSC1,877,MGH,495,nd
IPR-456,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
isoevodiamine,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
isoliquiritigenin,314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
isonicotinohydroxamic acid,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
ISOX,316,"Estrogen receptor;Prostaglandin G/H synthase 2;Prostaglandin G/H synthase 1;Sodium-dependent dopamine transporter;Estradiol 17 beta-dehydrogenase 1;mRNA of Protein tyrosine phosphatase-1B;Estrogen receptor beta;Gamma-aminobutyric-acid receptor alpha-3 subunit;Sodium-dependent serotonin transporter;Aldose reductase;Sodium-dependent noradrenaline transporter;NMDA receptor subunit NR1;Gamma-aminobutyric-acid receptor alpha-2 subunit;Gamma-aminobutyric-acid receptor alpha-5 subunit;Dihydroorotate dehydrogenase, mitochondrial;Dihydropteroate synthetase;Gamma-aminobutyric acid receptor subunit beta-2;Glutamate receptor AMPA subtype;Gamma-aminobutyric acid receptor subunit alpha-1;Soluble epoxide hydrolase;ATP-sensitive inward rectifier potassium channel 10;Gamma-aminobutyric acid receptor subunit gamma-2;Acyl-CoA desaturase;Gamma-aminobutyric acid receptor;Bromodomain-containing protein 4;L-lactate dehydrogenase;Alanine racemase,biosynthetic",P03372;P35354;P23219;Q01959;P14061;P18031;Q92731;P34903;P31645;P15121;P23975;Q05586;P47869;P31644;Q08210;P0AC13;P47870;P14867||P47869||P47870;P14867;P34913;P78508;P18507;O00767;O60885;Q27797;P94967,Zinc-finger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
Ispinesib Mesylate,319,NA,NA,NA,208,Ispinesib Mesylate,SB-715992,KSP,Mitosis,KSP,6450816,GDSC1,918,MGH,495,nd
istradefylline,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
IU1,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
JNJ-26854165,323,Ubiquitin-protein ligase E3 Mdm2,Q00987,Carbon-nitrogen ligase,1133,Serdemetan,JNJ-26854165,MDM2,p53 pathway,MDM2,11609586,GDSC1,940,SANGER,495,nd
JNK-9L,324,NA,NA,NA,157,JNK-9L,"KIN001-204, JNK inhibitor 9l","JNK2, JNK3",JNK and p38 signaling,"JNK2, JNK3",25222038,GDSC1,887,MGH,495,nd
JNK Inhibitor VIII,325,NA,NA,NA,1043,JNK Inhibitor VIII,NA,JNK,JNK and p38 signaling,JNK,11624601,GDSC1,945,SANGER,495,nd
JQ-1,326,Bromodomain-containing protein 4;Bromodomain testis-specific protein,O60885;Q58F21,Bromodomain,2172,JQ1,"JQ-1, (+)-JQ-1","BRD2, BRD3, BRD4, BRDT",Chromatin other,"BRD2, BRD3, BRD4, BRDT",46907787,GDSC2,48,SANGER,495,nd
JW-480,332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
JW-55,333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
JW-7-24-1,334,NA,NA,NA,256,JW-7-24-1,NA,LCK,"Other, kinases",LCK,none,GDSC1,921,MGH,495,nd
JW-7-52-1,335,NA,NA,NA,83,JW-7-52-1,NA,"MTORC1, MTORC2",PI3K/MTOR signaling,MTOR,49836027,GDSC1,385,MGH,495,nd
JW-74,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
KH-CB19,337,Cdc2-like kinase 1;dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A;CDC-like kinase 3,P49759;Q13627;P49761,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
KHS101,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
Ki8751,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
KIN001-055,340,NA,NA,NA,288,WHI-P97,"AC1L1GQE, KIN001-055",JAK3,"Other, kinases",JAK3,3796,GDSC1,919,MGH,495,nd
KIN001-102,341,NA,NA,NA,228,AKT inhibitor VIII,"Akti-1/2, KIN001-102",AKT,PI3K/MTOR signaling,AKT,10196499,GDSC1,920,MGH,495,nd
KIN001-135,342,NA,NA,NA,91,GSK319347A,"KIN001-135, IKK-3 inhibitor",IKK,"Other, kinases",IKK,11626927,GDSC1,402,MGH,495,nd
KIN001-236,343,NA,NA,NA,286,KIN001-236,NA,Angiopoietin-1 receptor,RTK signaling,Angiopoietin-1 receptor,none,GDSC1,919,MGH,495,nd
KIN001-244,344,NA,NA,NA,287,KIN001-244,PDK1 inhibitor 7,PDK1 (PDPK1),Metabolism,PDK1 (PDPK1),56965967,GDSC1,918,MGH,495,nd
KIN001-260,345,NA,NA,NA,290,KIN001-260,"Bayer IKKb inhibitor, ACHP",IKKB,"Other, kinases",IKKB,10451420,GDSC1,918,MGH,495,nd
KIN001-266,346,NA,NA,NA,291,KIN001-266,NA,MAP3K8,ERK MAPK signaling,MAP3K8,44143370,GDSC1,918,MGH,495,nd
KIN001-270,347,NA,NA,NA,345,KIN001-270,"CDK9 inhibitor, CDK9-IN-1",CDK9,Cell cycle,CDK9,66577006,GDSC1,919,MGH,495,nd
Ko-143,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
KPT185,349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
KU-0063794,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
KU-55933,351,DNA-dependent protein kinase catalytic subunit,P78527,Kinase,1030,KU-55933,KU55933,ATM,Genome integrity,ATM,5278396,GDSC2,49,SANGER,495,nd
KU 0060648,353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
L-685458,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
LAQ824,358,Histone deacetylase 1,Q13547,Carbon-nitrogen hydrolase,200,Dacinostat,"NVP-LAQ824, LAQ824",HDAC1,Chromatin histone acetylation,HDAC1,6445533,GDSC1,879,MGH,495,nd
LBW242,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
LE-135,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
leptomycin B,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
LFM-A13,364,Tyrosine-protein kinase BTK,Q06187,Kinase,192,LFM-A13,DDE-28,BTK,"Other, kinases",BTK,54676905,GDSC1,879,MGH,495,nd
Lisitinib,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
LRRK2-IN-1,368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
LY-2157299,369,TGF-beta receptor type I,P36897,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
LY-2183240,370,Fatty-acid amide hydrolase,O00519,Carbon-nitrogen hydrolase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
LY317615,371,NA,NA,NA,229,Enzastaurin,LY317615,PKCB,"Other, kinases",PKCB,176167,GDSC1,919,MGH,495,nd
manumycin A,372,Protein farnesyltransferase beta subunit;Farnesyltransferase,P49356,Alkyl aryl transferase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
marinopyrrole A,373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
Mdivi-1,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
Merck60,376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
methylstat,377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
MG-132,378,NA,NA,NA,9,MG-132,"LLL cpd, MG 132, MG132","Proteasome, CAPN1",Protein stability and degradation,"Proteasome, CAPN1",462382,GDSC1,399,MGH,495,nd
MGCD-265,379,Tyrosine-protein kinase receptor UFO,P30530,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
MI-1,380,Prostaglandin G/H synthase 2;Muscarinic acetylcholine receptor M2;Sodium-dependent noradrenaline transporter;Muscarinic acetylcholine receptor M4;E-selectin;P-selectin;L-selectin;Dibasic-processing enzyme (Furin);Beta-secretase;Cyclooxygenase;protein arginine methyltransferase 1,P35354;P08172;P23975;P08173;P16581;P16109;P14151;P09958;Q99873,Oxidoreductases acting on paired donors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
MI-2,381,Arachidonate 5-lipoxygenase;Platelet-activating factor receptor,P09917;P25105,Oxidoreductases acting on single donors,1511,Epirubicin,"Ellence, Farmorubicin, IMI-28",Anthracycline,DNA replication,Anthracycline,41867,GDSC2,753,SANGER,495,nd
Mitomycin-C,41,NA,NA,NA,136,Mitomycin-C,"Mytozytrex, NSC-26980, MMC, Mitosol, Mitozytrex",DNA crosslinker,DNA replication,DNA crosslinker,5746,GDSC1,878,MGH,495,nd
MK-0752,383,Gamma-secretase,Q96BI3||Q8WW43||Q9NZ42||Q92542||P49768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
MK 1775,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
ML006,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
ML031,387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
ML050,388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
ML083,389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
ML162,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
ML203,391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
ML210,392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
ML239,393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
ML258,394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
ML311,395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
ML312,396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
ML320,397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
ML334 diastereomer,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
MLN2238,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
MLN2480,400,mRNA of RAF proto-oncogene serine/threonine-protein kinase,P04049,Target of antisense drug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
MLN4924,401,NA,NA,NA,1529,Pevonedistat,"MLN4924, MLN 4924, MLN-4924",NAE,Other,NAE,16720766,GDSC2,751,SANGER,495,nd
MP470,42,Alpha platelet-derived growth factor receptor;Mast/stem cell growth factor receptor,P16234;P10721,Kinase,293,Amuvatinib,"MP470, MP 470, MP-470","KIT, PDGFRA, FLT3",RTK signaling,"KIT, PDGFRA, FLT3",11282283,GDSC1,913,MGH,495,nd
MPS-1-IN-1,403,NA,NA,NA,294,MPS-1-IN-1,NA,MPS1,Mitosis,MPS1,25195352,GDSC1,917,MGH,495,nd
MS-275,404,Tubulin,Q13509,Tubulin family,1593,Entinostat,MS-275,"HDAC1, HDAC3",Chromatin histone acetylation,"HDAC1, HDAC3",4261,GDSC2,736,SANGER,495,nd
myricetin,406,Phosphoinositide 3 kinase,P48736,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
myriocin,407,RAC serine/threonine-protein kinase,P31749,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
N9-isopropylolomoucine,408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
nakiterpiosin,409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
narciclasine,410,Elongation factor 1A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
necrostatin-1,417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
necrostatin-7,418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
necrosulfonamide,419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
neopeltolide,422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
NG-25,424,Proto-oncogene tyrosine-protein kinase SRC;Lyn tyrosine kinase;Mitogen-activated protein kinase kinase kinase 7;c-src tyrosine kinase,P12931;P07948;O43318;P41240,Kinase,260,NG-25,NG25,"TAK1, MAP4K2","Other, kinases","TAK1, MAP4K2",53340664,GDSC1,919,MGH,495,nd
niclosamide,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
NPC-26,426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
NPK76-II-72-1,427,NA,NA,NA,257,NPK76-II-72-1,NA,PLK3,Cell cycle,PLK3,none,GDSC1,918,MGH,495,nd
NSC-207895,428,NA,NA,NA,269,NSC-207895,"XI-006, NSC207895",MDM4,p53 pathway,MDM4,42640,GDSC1,915,MGH,495,nd
NSC-87877,429,"Protein-tyrosine phosphatase, non-receptor type 11",Q06124,Phosphoric monoester hydrolases,147,NSC-87877,NSC 87877,"SHP-1 (PTPN6), SHP-2 (PTPN11)",Other,"SHP-1 (PTPN6), SHP-2 (PTPN11)",5459322,GDSC1,885,MGH,495,nd
NSC 74859,430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
NSC19630,431,NA,NA,NA,1931,MIRA-1,"MIRA 1, MIRA1, NSC19630, NSC-19630, NSC 19630",TP53,p53 pathway,TP53,227681,GDSC2,752,SANGER,495,nd
NSC23766,432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
NSC30930,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
NSC48300,434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
NSC632839,435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
NSC95397,437,M-phase inducer phosphatase 2;M-phase inducer phosphatase 1,P30305;P30304,Phosphoric monoester hydrolases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
NU-7441,438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
Nutlin-3a (-),441,NA,NA,NA,1047,Nutlin-3a (-),NA,MDM2,p53 pathway,MDM2,11433190,GDSC2,774,SANGER,495,nd
NVP-231,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
NVP-ADW742,443,Insulin-like growth factor I receptor,P08069,Kinase,1932,NVP-ADW742,"NVP ADW742, NVPADW742",IGF1R,IGF1R signaling,IGF1R,9825149,GDSC2,753,SANGER,495,nd
NVP-BEZ235,444,NA,NA,NA,1057,Dactolisib,"NVP-BEZ235, BEZ235","PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,PI3K,11977753,GDSC2,753,SANGER,495,nd
NVP-BSK805,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
O-6-benzylguanine,446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
oligomycin a,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
OSI-906,451,Insulin-like growth factor I receptor,P08069,Kinase,1510,Linsitinib,"OSI-906, ASP-7487",IGF1R,IGF1R signaling,IGF1R,11640390,GDSC2,805,SANGER,495,nd
ouabain,46,Sodium/potassium-transporting ATPase alpha-1 chain,P05023,Acid anhydrides hydrolase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
palmostatin B,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
pandacostat,458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
parbendazole,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
Parthenolide,461,Nuclear factor NF-kappa-B;Inhibitor of nuclear factor kappa B kinase beta subunit,Q00653;O14920,Kinase,89,Parthenolide,NA,HDAC1,Chromatin histone acetylation,HDAC1,7251185,GDSC1,402,MGH,495,nd
Pazopanib,463,Epidermal growth factor receptor;Receptor protein-tyrosine kinase erbB-2;Vascular endothelial growth factor receptor 2;Mast/stem cell growth factor receptor;Platelet-derived growth factor receptor,P00533;P04626;P35968;P10721,Kinase,199,Pazopanib,Votrient,"CSF1R, KIT,  PDGFRA, PDGFRB",RTK signaling,"CSF1R, KIT,  PDGFRA, PDGFRB",10113978,GDSC1,874,MGH,495,nd
PD-0325901,464,MEK protein kinase,NA,Kinase,1060,PD0325901,"PD-0325901, PD 0325901","MEK1, MEK2",ERK MAPK signaling,"MEK1, MEK2",9826528,GDSC2,805,SANGER,495,nd
PD-0332991,465,NA,NA,NA,1054,Palbociclib,"PD0332991, PD-0332991, PF-00080665-73","CDK4, CDK6",Cell cycle,"CDK4, CDK6",5330286,GDSC2,771,SANGER,495,nd
PD 153035,466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
PD173074,467,Proto-oncogene tyrosine-protein kinase SRC;Fibroblast growth factor receptor,P12931,Kinase,1049,PD173074,"PD-173074, PD 173074","FGFR1, FGFR3",RTK signaling,"FGFR1, FGFR3",1401,GDSC2,759,SANGER,495,nd
PD318088,468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
PDMP,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
PF-184,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
PF-3758309,474,PAK-4 protein kinase,O96013,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
PF-4708671,477,Ribosomal protein S6 kinase,P23443,Kinase,1129,PF-4708671,"PF 4708671, PF4708671",S6K1,PI3K/MTOR signaling,S6K1,51371303,GDSC2,49,SANGER,495,nd
PF-543,479,Sphingosine kinase;Dipeptidyl-peptidase I;Cathepsin S;Cathepsin K;Cathepsin B,Q9NYA1;P53634;P25774;P43235;P07858,Kinase,408,Sphingosine Kinase 1 Inhibitor II,PF-543,Sphingosine Kinase,"Other, kinases",Sphingosine Kinase,NA,GDSC1,926,MGH,495,nd
PF-573228,481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
PF-750,482,Fatty-acid amide hydrolase,O00519,Carbon-nitrogen hydrolase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
PHA-665752,484,Hepatocyte growth factor receptor,P08581,Kinase,6,PHA-665752,"PHA665752, PHA 665752",MET,RTK signaling,MET,10461815,GDSC1,408,MGH,495,nd
phenformin,48,AMP-activated protein kinase,NA,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
phloretin,486,AQP9;ClC-3;Sodium-dependent vitamin C transporter 1,O43315;P51790;Q9UHI7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
PI-103,487,Phosphoinositide 3 kinase,P48736,Kinase,302,PI-103,"PI-103, PI103, PI 103","PI3Kalpha, DAPK3, CLK4, PIM3, HIPK2","Other, kinases","PI3Kalpha, DAPK3, CLK4, PIM3, HIPK2",9884685,GDSC1,908,MGH,495,nd
pifithrin-alpha,488,Cellular tumor antigenp53,P04637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
pifithrin-mu,489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
PIK-93,490,"phosphatidylinositol 4-kinase, catalytic, beta",Q9UBF8,NA,303,PIK-93,"PIK 93, PIK93",PI3Kgamma,PI3K/MTOR signaling,PI3K,6852167,GDSC1,918,MGH,495,nd
piperlongumine,491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
pitstop2,493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
PL-DI,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
Platin,495,Receptor protein-tyrosine kinase erbB-2;Estrogen receptor;Apoptosis regulator Bcl-2;Estrogen receptor beta;mRNA of Telomerase reverse transcriptase;Tubulin beta-1 chain;Human DNA,P04626;P03372;P10415;Q92731;O14746;Q9H4B7,Kinase,1005,Cisplatin,"cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP",DNA crosslinker,DNA replication,DNA crosslinker,84691,GDSC2,769,SANGER,495,nd
pluripotin,496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
PLX-4032,497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
PLX4720,498,Vascular endothelial growth factor receptor 2;mRNA of B-Raf,P35968;P15056,Kinase,1036,PLX-4720,"PLX4720, PLX 4720",BRAF,ERK MAPK signaling,BRAF,24180719,GDSC2,798,SANGER,495,nd
prima-1,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
PRIMA-1-Met,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
PRL-3 Inhibitor I,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
prochlorperazine,50,D(2) dopamine receptor,P14416,GPCR rhodopsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
purmorphamine,502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
PX-12,504,Thioredoxin,P10599,Thioredoxin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
PYR-41,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
pyrazolanthrone,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
Pyrimethamine,507,Folate receptor alpha,P15328,Folate receptor,71,Pyrimethamine,"Daraprim, Chloridine",Dihydrofolate reductase (DHFR),Other,Dihydrofolate reductase (DHFR),4993,GDSC1,400,MGH,495,nd
QL-VIII-58,508,NA,NA,NA,1166,QL-VIII-58,NA,"MTOR, ATR",Other,"MTOR, ATR",none,GDSC1,497,SANGER,495,nd
QL-X-138,509,NA,NA,NA,331,QL-X-138,NA,BTK,"Other, kinases",BTK,none,GDSC1,909,MGH,495,nd
QL-XI-92,510,NA,NA,NA,329,QL-XI-92,NA,DDR1,Cytoskeleton,DDR1,none,GDSC1,921,MGH,495,nd
QL-XII-47,511,NA,NA,NA,235,QL-XII-47,NA,"BTK, BMX","Other, kinases","BTK, BMX",none,GDSC1,912,MGH,495,nd
QL-XII-61,512,NA,NA,NA,1203,QL-XII-61,NA,"BMX, BTK","Other, kinases","BMX, BTK",none,GDSC1,473,SANGER,495,nd
QS11,513,NA,NA,NA,151,QS11,944328-88-5,ARFGAP1,Other,ARFGAP1,4263900,GDSC1,880,MGH,495,nd
QW-BI-011,515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
R428,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
RAF265,517,Vascular endothelial growth factor receptor 2,P35968,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
RDEA119,519,NA,NA,NA,1526,Refametinib,"RDEA119, BAY-86-9766, BAY 869766","MEK1, MEK2",ERK MAPK signaling,"MEK1, MEK2",44182295,GDSC1,876,SANGER,495,nd
Repligen 136,521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
RG-108,522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
RITA,524,Sodium-dependent dopamine transporter;5-hydroxytryptamine 2A receptor;Sodium-dependent serotonin transporter;5-hydroxytryptamine 2C receptor;5-hydroxytryptamine 2B receptor;Dihydropteroate synthetase;Adenosylhomocysteinase;Ferritin;Nonstructural protein NS3;5-hydroxytryptamine receptor;5-hydroxytryptamine 2 receptor,Q01959;P28223;P31645;P28335;P41595;P0AC13;P23526;P02794;P26664 (1027-1657),Neurotransmitter:sodium symporter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
RO-3306,525,NA,NA,NA,1052,RO-3306,NA,CDK1,Cell cycle,CDK1,44450571,GDSC2,49,SANGER,495,nd
RO4929097,526,Gamma-secretase,Q96BI3||Q8WW43||Q9NZ42||Q92542||P49768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
Roscovitine,527,Cell division protein kinase 2;Cell division control protein 2 homolog;Cell division protein kinase 7,P24941;P06493;P50613,Kinase,110,Seliciclib,"Roscovitine, CYC-202, AL-39256","CDK2, CDK7, CDK9",Cell cycle,"CDK2, CDK7, CDK9",160355,GDSC1,396,MGH,495,nd
rTRAIL,528,NA,NA,NA,1261,rTRAIL,NA,TRAIL receptor agonist,Apoptosis regulation,TRAIL receptor agonist,none,GDSC1,920,SANGER,495,nd
salermide,531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
Salubrinal,533,NA,NA,NA,111,Salubrinal,EIF-2alpha Inhibitor,EIF2A,Other,EIF2A,5717801,GDSC1,398,MGH,495,nd
SB-225002,534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
SB-431542,536,TGF-beta receptor type I,P36897,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
SB-525334,537,TGF-beta receptor type I,P36897,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
SB-743921,538,Kinesin-like protein KIF11,P52732,Kinesin-like protein family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nd
SB 216763,539,NA,NA,NA,1025,SB216763,"SB-216763, SB 216763","GSK3A, GSK3B",WNT signaling,"GSK3A, GSK3B",176158,GDSC2,96,SANGER,495,nd
SB 505124,540,NA,NA,NA,1194,SB505124,"SB 505124, SB505124","TGFBR1, ACVR1B, ACVR1C",RTK signaling,"TGFBR1, ACVR1B, ACVR1C",9858940,GDSC2,47,SANGER,495,nd
SB52334,541,NA,NA,NA,304,SB52334,"SB-52334, SB 52334",ALK5,"Other, kinases",ALK5,9967941,GDSC1,916,MGH,495,nd
